Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,ZipCode,CrimeRate,SchoolRating
512223,3,3.3,2025,1994,1,0.95,10001,35.98,3
497582,1,2.5,1909,1972,2,1.36,60601,93.58,8
665230,3,2.5,2500,1983,0,1.01,75201,47.98,4
1242743,5,3.6,5188,1965,1,1.56,60601,62.89,7
658875,2,1.7,2638,2012,1,0.94,10001,31.05,10
643364,2,2.9,2095,2000,1,0.69,75201,26.59,10
330423,1,2.4,1371,1981,2,0.84,60601,79.92,8
582359,4,3.5,2159,1987,0,1.4,60601,58.65,3
338493,1,2.8,1387,2005,1,1.01,75201,45.55,3
770424,4,3.4,3157,2018,3,1.52,30301,46.23,1
757643,2,2.7,3013,1966,1,0.96,10001,29.3,8
578814,1,1.9,2460,1988,1,0.45,30301,38.78,2
914909,5,3.1,3614,1990,1,1.26,75201,58.51,7
711676,3,3.5,2538,1997,2,1.6,75201,50.91,7
827987,4,3.9,3234,1977,2,1.33,94101,65.06,7
694668,3,2.8,2440,1999,1,1.72,94101,0.0,4
847732,3,2.9,3559,1950,2,0.85,75201,53.49,7
493615,1,1.8,1805,1999,2,1.36,94101,65.6,10
773594,3,3.5,2656,1968,2,0.82,60601,5.88,8
704362,5,3.8,2392,2008,0,1.37,30301,29.32,9
720230,3,3.9,2602,2017,0,1.23,75201,21.08,7
530165,1,1.9,2318,2016,2,1.0,60601,75.93,6
789455,5,3.3,2966,1990,2,1.7,10001,51.44,5
539636,2,2.7,1924,1959,2,0.33,10001,52.82,10
775629,3,3.2,3096,1977,1,0.93,94101,72.69,10
283627,1,2.2,1161,1983,0,0.36,94101,47.78,7
699726,2,2.2,2828,1988,2,0.49,60601,37.0,10
511105,2,3.0,2033,2005,2,0.9,10001,53.42,2
750325,4,3.6,2905,2001,1,0.67,75201,58.6,5
777317,5,3.0,2938,1952,0,1.8,30301,27.38,8
674139,3,3.6,2889,1972,1,1.32,94101,81.33,6
725163,1,2.9,3129,1966,2,1.19,60601,12.14,6
898777,4,3.3,3490,2020,2,0.98,94101,56.53,1
768833,5,3.5,3067,1975,2,1.21,60601,83.47,2
873676,4,3.5,3667,1967,2,1.62,10001,52.42,3
931538,5,3.1,3341,1995,1,1.84,94101,8.9,7
1076960,5,3.5,4187,2019,2,1.9,60601,79.73,10
786124,3,1.8,3103,1980,3,1.45,60601,40.38,6
614565,5,3.9,2028,1958,3,1.57,94101,65.62,5
721141,4,2.4,2597,1984,2,1.16,30301,58.38,9
1044908,5,4.3,3972,2009,1,1.72,75201,49.68,10
772293,3,2.7,2775,2012,2,0.97,10001,8.82,7
571128,3,2.8,2188,2001,2,1.13,94101,58.14,9
651835,4,2.9,2783,1997,2,1.19,94101,64.76,3
450620,2,2.5,1346,2010,1,0.98,30301,17.98,8
578116,2,3.3,2255,1973,3,1.27,10001,83.49,9
1087002,5,2.3,4605,2007,1,1.4,94101,42.28,2
542122,1,2.9,2302,2013,1,0.55,30301,86.33,4
1069672,5,3.7,4595,1979,1,1.47,75201,63.34,2
883638,4,2.6,3541,1978,2,0.95,60601,50.47,7
873878,4,2.7,3613,1959,1,1.5,75201,52.1,4
989159,4,4.0,4087,1988,0,1.33,75201,69.7,6
823383,4,2.7,3288,2004,2,1.29,75201,80.56,8
800062,4,2.6,3006,1977,2,1.4,75201,30.56,6
797897,3,3.5,3216,1967,2,0.66,60601,38.03,4
692299,2,2.8,3026,1990,1,1.32,10001,83.16,6
751332,4,2.7,2860,2014,2,1.14,10001,32.36,1
383467,1,2.4,1539,1995,0,0.59,30301,50.44,6
503632,1,1.8,1969,2009,1,0.96,30301,36.25,10
583210,1,2.9,2315,1958,1,0.88,94101,64.78,8
602609,1,2.8,2299,1994,2,1.3,75201,0.73,4
541477,3,3.2,1987,2009,1,0.81,75201,64.69,9
658198,1,2.5,2855,1977,0,0.42,60601,73.21,6
706173,4,4.1,2779,1952,1,0.94,75201,63.15,6
888583,5,3.5,3367,2000,1,1.54,60601,33.37,4
455763,1,1.7,1448,1957,3,0.62,94101,0.0,8
994630,3,3.1,4049,2019,3,0.89,30301,36.45,5
684699,3,3.9,2821,2008,1,1.08,30301,63.04,1
366746,1,1.8,1474,2010,1,0.39,94101,49.51,7
994969,5,3.3,3931,2007,1,1.96,94101,67.58,8
596724,1,2.5,2284,2019,2,0.49,75201,45.58,6
682278,3,2.9,2606,1961,0,0.93,30301,44.56,7
629017,2,2.1,2720,1958,1,0.18,10001,82.0,7
692874,4,3.8,2687,1998,2,0.81,94101,36.19,4
642408,3,4.1,2453,1966,1,0.92,30301,62.93,4
222442,1,2.4,894,2003,0,0.61,30301,65.68,1
575047,4,2.7,2438,1993,1,1.52,60601,97.43,2
606361,1,1.5,2803,1981,1,0.25,30301,83.11,3
640139,1,2.4,2720,1984,2,0.84,94101,60.98,5
645239,2,3.2,2332,1998,3,1.09,75201,64.19,10
964969,4,3.4,3931,2003,1,1.5,30301,75.24,9
776556,4,3.2,3019,1965,1,1.61,10001,37.17,5
522325,2,2.3,2178,1961,3,0.55,94101,85.23,6
707761,3,2.4,2728,1957,2,1.26,75201,49.38,7
416442,1,2.7,1837,1970,1,1.23,75201,63.63,4
892120,5,4.0,3392,1997,2,1.92,94101,57.23,8
535793,1,1.5,2471,1957,0,1.27,75201,34.86,6
500862,1,3.1,1975,1977,2,0.77,10001,42.38,1
805742,3,3.2,3056,1959,3,0.92,30301,34.05,6
558895,1,3.0,2415,2001,2,0.1,94101,54.39,2
601653,2,1.9,2494,1964,1,0.53,30301,19.36,4
493178,2,1.9,1814,1953,1,0.74,30301,30.22,4
683873,4,3.1,2423,2011,2,1.2,75201,41.13,10
957073,5,3.8,3574,1953,2,1.26,94101,46.85,10
447131,1,3.2,1814,1990,2,0.8,30301,79.12,5
475819,1,2.7,1943,2022,0,0.76,60601,69.9,10
691040,3,2.8,2691,2004,2,1.11,10001,47.65,2
807537,2,2.1,3591,1977,2,1.14,75201,86.29,6
783312,5,4.1,2834,1996,1,1.36,94101,56.71,3
567400,4,2.7,2105,1958,1,1.63,94101,63.48,9
628500,2,3.4,2466,1951,1,0.54,75201,12.18,6
772448,4,3.1,2911,2016,2,1.21,30301,31.17,3
716959,3,3.7,2858,1997,2,1.2,75201,70.95,3
741703,3,3.2,2991,2018,2,0.52,94101,63.1,5
599850,1,2.2,2542,1977,1,0.55,60601,85.9,6
738909,5,3.2,2746,1963,3,1.71,30301,84.35,4
739956,4,3.0,2821,1995,2,1.17,75201,39.39,5
582390,2,2.8,2514,1962,1,0.35,94101,73.02,3
752546,3,2.9,3085,1965,0,0.83,94101,30.35,10
732459,1,2.0,2996,1989,1,0.3,94101,18.24,4
586753,1,2.2,2377,2021,3,0.85,60601,56.38,8
784690,4,3.2,3071,1979,1,1.34,30301,65.31,8
546551,3,1.8,2254,2014,1,0.63,75201,56.69,1
788065,5,3.7,3217,2007,1,1.01,30301,69.12,4
638647,3,2.4,2403,1997,2,0.88,94101,38.37,2
801051,4,2.6,3427,1998,1,1.31,60601,70.38,4
793959,4,2.4,3228,1951,1,1.1,60601,39.6,5
479723,3,2.0,2038,1963,1,1.21,94101,97.78,1
693437,4,2.5,2882,1966,1,1.39,30301,67.12,5
772127,3,2.5,3138,1980,1,1.26,30301,81.55,7
633445,2,3.6,2475,1959,2,0.48,60601,25.11,5
745860,3,2.6,2984,2019,2,1.02,10001,41.59,7
756091,3,3.0,2891,1986,2,1.42,60601,48.29,9
1040667,4,3.4,3913,2013,2,1.1,60601,26.77,8
758415,4,3.3,3218,1979,1,1.06,75201,82.29,1
482059,1,2.3,1706,1983,2,0.55,60601,51.13,10
391391,1,1.7,1442,1967,1,0.55,10001,19.81,10
603991,2,3.3,2424,2012,1,0.94,60601,40.07,2
278863,1,3.2,679,1998,3,0.53,30301,27.53,6
621589,3,2.1,2607,2005,2,0.49,75201,64.9,5
711803,4,2.7,2997,2007,2,1.66,75201,62.14,1
305572,1,2.2,1217,1976,2,0.85,60601,62.95,2
393438,1,1.8,1435,2004,3,0.74,75201,69.61,3
653247,2,2.9,2704,1968,2,0.87,75201,93.94,10
549421,2,2.2,2415,1972,2,0.8,60601,86.29,5
697377,3,4.0,2750,1996,2,0.86,10001,41.04,7
785965,4,3.8,3253,2015,1,0.74,60601,92.59,6
576694,2,2.7,2346,2000,1,1.39,30301,45.99,3
620930,1,2.8,2521,1977,2,0.71,94101,52.1,6
799512,4,3.8,3161,2006,1,0.82,10001,51.42,4
628074,4,2.9,2370,2007,1,0.99,60601,63.29,3
671528,1,1.9,2715,1964,1,0.79,10001,12.66,4
622168,2,2.6,2485,1965,1,0.99,94101,50.5,8
409377,1,2.7,1605,1996,3,0.48,75201,55.91,1
700875,4,3.3,2473,2012,2,0.98,75201,16.3,3
950534,5,2.7,3697,1961,2,1.33,94101,15.93,10
940700,5,3.1,3441,1992,3,0.92,75201,33.49,8
932233,3,2.9,3487,1978,3,0.96,10001,35.19,10
466180,1,2.3,1727,1998,2,0.56,75201,50.86,9
391954,1,3.3,1481,1952,3,1.16,94101,47.34,3
763658,3,2.2,3147,2018,1,0.96,94101,73.48,9
808510,3,3.2,3162,2009,1,1.18,94101,42.4,10
750208,3,3.6,2784,2015,1,1.58,30301,42.77,10
847757,4,4.3,3438,1975,2,0.98,10001,70.08,4
468114,1,2.1,1881,2020,2,0.51,94101,11.95,4
806558,4,3.4,3216,2018,2,1.14,10001,85.47,7
893293,3,3.2,3282,1996,2,0.6,30301,19.55,6
502111,1,2.4,2212,1991,0,0.62,10001,70.42,10
756519,4,3.2,3015,1980,0,1.65,60601,66.88,3
927635,4,3.4,3776,1971,2,1.55,30301,81.3,8
416884,3,1.6,1517,1966,1,1.45,30301,35.71,5
643866,1,2.6,2926,1969,2,0.51,75201,50.84,2
566685,3,3.0,1847,1957,2,0.76,94101,26.97,10
418412,1,2.2,1586,1998,2,1.38,30301,48.77,3
887545,5,4.5,3479,1987,1,1.56,10001,47.95,7
579239,2,2.3,2226,2002,2,0.42,60601,81.07,10
685481,2,2.4,2803,1977,2,1.67,10001,60.75,9
492330,2,3.6,1771,1978,3,0.87,10001,49.32,1
734629,3,2.5,2830,2021,2,0.22,60601,49.06,6
885404,5,3.2,3210,1960,2,1.94,75201,40.82,9
491303,1,2.2,2047,1996,1,0.1,94101,45.22,7
828052,4,3.6,3067,1994,2,1.39,30301,51.64,3
450160,1,2.4,1946,1967,3,0.95,94101,88.78,7
721965,4,2.6,2825,1999,1,1.5,75201,58.04,2
453359,1,2.0,1644,1998,1,1.17,60601,29.29,10
853388,5,3.2,3643,1971,1,1.81,94101,100.0,2
854465,4,3.2,3571,1994,2,1.86,10001,70.69,1
608690,3,3.1,2400,2010,1,1.07,30301,69.44,3
375696,1,2.5,1465,1970,0,0.58,30301,45.68,1
520546,1,1.4,2206,2020,2,0.6,75201,65.95,8
800366,4,3.7,3083,2010,2,1.71,75201,56.09,8
746898,3,3.0,3115,1985,1,0.91,60601,22.81,4
573910,3,3.6,2247,1973,1,1.35,75201,59.07,1
721991,5,3.7,2610,1981,1,1.24,94101,24.9,2
621173,3,3.5,2433,2008,1,0.85,30301,55.96,2
577706,3,3.1,2316,1954,1,1.46,60601,57.83,2
744053,3,3.6,2660,1965,2,1.23,75201,31.75,9
514549,2,2.9,1981,1960,2,0.25,10001,52.35,7
992559,5,3.5,3870,1984,2,1.24,30301,61.89,9
488924,1,3.4,1755,1991,1,0.1,60601,39.75,10
809925,4,3.6,3175,1959,2,1.19,30301,59.14,10
438993,1,2.6,1978,1957,2,0.62,94101,75.45,2
893667,5,2.9,3597,1975,0,1.36,75201,66.84,5
764132,4,2.6,3087,1952,0,1.66,75201,43.8,1
933147,5,3.6,3755,2008,2,1.62,75201,79.06,2
586302,3,3.0,2302,1952,2,1.84,10001,65.06,4
909334,4,2.9,3799,1987,1,1.46,94101,46.62,10
622125,3,3.0,2581,1951,2,1.27,10001,37.66,1
352332,1,3.1,1244,1966,2,0.78,94101,62.37,8
472339,1,2.6,1994,2022,3,0.62,94101,71.71,6
672069,4,2.6,2674,1985,1,1.11,94101,72.68,1
862002,4,3.1,3432,2022,2,1.23,75201,62.33,9
1075503,5,3.1,4604,1951,0,1.44,75201,43.18,1
839387,5,3.3,3106,1983,2,1.47,75201,61.36,4
759082,3,2.7,2866,1976,2,1.29,10001,32.78,5
629250,4,3.0,2222,1986,1,1.39,60601,55.8,9
475228,1,1.7,2126,2020,2,0.54,94101,85.97,2
814319,5,3.4,3057,1971,0,1.28,10001,29.85,9
849504,5,3.2,3187,2017,2,1.57,75201,38.93,1
312591,1,1.0,1349,1963,1,0.42,75201,68.94,4
1014728,5,4.5,3866,1972,2,1.37,60601,32.47,7
758624,3,3.4,3203,1993,0,0.94,75201,80.69,4
815212,4,3.0,3111,2014,2,2.03,94101,69.52,8
364733,1,2.3,1467,2010,2,0.32,30301,70.36,7
952490,4,2.6,3894,2004,2,1.06,75201,72.76,6
860519,5,4.3,3124,2020,1,1.33,60601,24.15,5
749472,5,4.4,2418,1999,2,1.36,30301,28.37,10
440669,1,2.4,2129,1961,0,1.0,94101,76.4,3
578154,3,3.4,2147,1964,2,1.02,94101,43.86,8
648105,2,2.7,2794,1966,2,0.5,94101,48.55,4
480269,1,1.6,1709,1983,2,1.13,60601,64.16,8
665590,2,2.4,2601,1984,2,0.98,30301,53.03,1
638780,2,2.7,3000,1988,0,1.03,94101,71.61,2
514256,3,2.7,2095,2004,2,1.3,75201,61.57,2
518016,2,2.5,2017,2008,1,0.53,30301,46.04,6
605398,2,2.6,2262,1954,3,0.9,94101,48.1,5
879122,3,2.9,3468,1979,2,1.35,30301,55.17,10
571754,2,2.6,1970,1953,2,0.71,75201,57.8,10
511590,2,2.1,2002,1964,3,0.99,10001,66.09,7
585869,2,2.2,2539,1984,1,1.06,94101,53.31,2
445924,1,1.7,1611,2004,3,0.26,75201,48.31,9
481341,1,2.8,1976,2015,1,0.39,60601,46.4,2
295508,1,1.2,1124,2009,2,0.1,94101,41.36,1
877224,3,3.5,3807,1973,2,1.17,10001,82.1,2
808427,5,4.2,2826,1971,0,2.07,75201,32.54,3
572867,2,2.4,2139,1993,1,0.69,75201,24.79,6
512104,2,1.3,2283,1981,0,0.84,30301,67.83,7
885785,3,2.7,3656,2000,3,1.4,94101,59.63,6
388293,2,2.6,1637,1952,1,0.98,10001,91.29,1
710678,1,1.8,2891,2019,2,0.41,60601,48.33,9
1004080,5,3.2,3878,1981,2,1.96,30301,49.42,8
802899,4,4.0,3308,1951,1,1.36,94101,33.53,2
431170,2,2.9,1807,2008,1,0.83,10001,52.01,1
578250,1,1.8,2185,2022,2,0.66,30301,15.32,7
735917,4,2.4,2738,1963,1,1.48,10001,12.24,3
1015456,5,3.3,4133,2000,2,1.32,10001,39.13,3
739085,4,3.1,2614,1960,1,1.77,30301,51.33,10
499649,1,2.5,1843,1959,1,1.08,30301,38.26,9
727815,4,2.9,2822,2007,2,1.3,94101,38.43,2
671715,3,3.2,2206,1983,1,1.12,30301,19.83,5
872852,4,4.2,3470,2002,3,1.05,94101,62.63,4
629496,2,3.0,2567,1977,2,0.71,10001,35.75,1
655466,2,2.6,2904,1967,1,0.56,30301,83.19,6
505141,3,2.8,1810,1975,1,1.04,94101,48.62,6
547241,1,2.1,2432,1956,1,0.72,94101,28.97,1
907465,2,3.2,3552,1994,1,0.42,60601,3.89,7
903945,5,3.2,3274,1994,2,1.71,94101,25.44,6
791896,2,2.6,3247,2020,2,0.64,94101,48.73,4
597430,2,2.6,2168,1984,1,1.02,60601,2.47,7
326875,1,2.0,1213,2001,1,0.94,75201,34.15,3
793318,4,2.5,2947,1970,1,1.69,30301,39.36,10
698275,2,2.8,2824,1977,0,1.23,60601,35.2,6
611446,3,2.9,2280,1993,2,1.6,94101,38.31,6
740589,4,3.5,2799,2005,2,1.54,94101,40.69,10
957368,5,3.2,3796,1959,1,1.55,30301,34.3,6
445853,1,2.9,1901,1972,1,0.56,10001,79.4,3
1016633,5,3.1,3792,1997,3,1.46,60601,37.67,10
840584,4,4.1,3218,2001,0,1.79,75201,0.0,5
857649,4,2.3,3339,1964,2,1.24,30301,17.27,1
780814,4,3.4,2883,2004,1,1.3,30301,62.04,6
928007,5,3.7,3615,1992,2,1.94,60601,59.01,7
707006,4,2.8,2636,1999,2,1.23,94101,39.5,5
1037896,5,3.7,4144,1955,1,1.26,94101,21.77,5
727433,4,3.8,2782,1982,2,1.64,75201,64.23,6
858939,3,1.8,3264,2011,2,0.85,60601,18.26,7
734983,4,3.5,2983,2004,0,1.42,30301,57.47,4
920785,5,2.3,3600,1988,1,1.57,60601,41.42,7
507783,2,2.1,2052,1961,2,0.99,10001,59.99,5
726530,4,4.0,2592,1980,2,0.57,30301,39.87,7
353956,2,2.3,1427,2002,2,1.13,75201,79.21,1
653685,3,2.3,2172,1983,2,1.08,75201,13.1,10
440886,1,2.2,1738,1990,2,0.88,30301,61.51,2
722725,3,3.9,2805,1959,2,1.25,94101,43.08,2
909841,4,2.3,3605,2001,2,1.39,30301,35.92,7
536910,2,2.1,2077,2006,1,0.78,30301,75.1,9
524792,2,3.3,1859,1952,3,0.78,10001,29.65,7
764828,5,4.4,2778,2006,0,1.48,30301,54.68,6
599149,2,2.5,2540,1982,1,0.95,60601,52.44,3
1057287,5,2.9,4191,1956,2,1.37,60601,25.39,5
596109,1,3.3,2533,1953,1,0.98,75201,66.51,10
829765,4,4.0,3454,1988,0,1.2,94101,90.42,2
916584,5,3.8,3819,1997,0,1.21,75201,82.39,9
635644,1,1.9,2748,1965,2,0.88,10001,57.94,6
626995,2,2.6,2466,1987,3,1.46,30301,45.44,9
667770,2,2.5,2623,1953,2,0.55,75201,66.33,9
464503,1,2.5,1739,1953,2,0.66,30301,69.36,7
422091,2,3.3,1618,1976,1,1.22,75201,51.82,5
452132,1,2.7,1558,1966,1,0.87,30301,2.21,4
888657,5,3.0,3495,2019,0,1.69,75201,18.87,1
935467,5,4.2,3530,2003,1,1.51,60601,59.19,9
687930,1,2.5,2863,1957,1,0.1,10001,56.49,6
912535,5,3.8,3540,2002,1,1.58,75201,40.76,2
997265,5,4.2,4089,1954,0,1.61,60601,55.49,7
879936,5,2.9,3282,2018,2,1.84,94101,20.71,6
652588,3,2.9,2544,1996,2,0.87,75201,46.42,4
669477,4,2.9,2435,1989,3,1.8,30301,43.28,6
551303,2,1.8,1928,1956,2,0.81,10001,10.72,6
737358,3,3.1,2963,1961,0,0.96,60601,51.75,5
956713,5,4.8,3503,1974,2,1.28,60601,19.49,1
514515,1,1.4,2371,1977,1,1.01,10001,67.52,3
948535,5,3.5,3590,1992,2,1.17,75201,56.69,7
801792,4,3.5,2923,1996,2,1.49,30301,36.64,2
1142945,5,3.6,4574,1998,2,1.26,94101,29.64,10
524559,1,2.2,1853,2003,3,0.69,75201,22.16,10
887734,4,2.6,3681,1967,2,0.84,10001,40.48,1
880486,5,3.6,3299,1976,2,1.74,75201,65.45,8
903932,4,2.8,3454,2021,1,1.25,75201,43.23,7
641168,2,1.5,2764,1955,3,1.07,10001,46.56,6
645317,2,3.2,2404,2018,1,0.85,10001,27.89,10
724489,5,4.0,2322,2020,3,1.66,94101,39.9,5
779329,4,3.2,3109,1971,1,1.29,10001,45.48,6
593861,1,2.4,2515,2008,1,0.92,10001,52.48,1
1002837,5,4.0,3763,1996,2,1.66,10001,46.48,9
604857,2,2.7,2522,2017,0,0.96,60601,58.98,1
414110,2,3.1,1438,1981,2,0.63,10001,63.1,4
763009,5,3.4,3139,1950,1,1.37,10001,80.57,3
837536,4,3.9,3305,2003,2,1.07,10001,54.4,4
598478,2,2.8,2505,1995,2,1.33,94101,58.42,1
964136,4,3.3,3707,1990,2,1.53,75201,39.55,10
474141,2,2.0,2227,1990,1,0.91,10001,80.77,4
615159,2,2.7,2502,1957,0,0.73,10001,40.59,4
697584,3,2.5,2708,1981,2,0.86,94101,62.04,3
498724,2,2.3,1806,1979,1,0.94,75201,40.14,8
250182,1,1.9,772,1995,1,1.25,94101,47.11,7
964418,5,3.0,3715,2001,2,1.5,30301,50.4,9
969565,5,4.6,3586,2010,1,1.86,30301,10.93,2
775440,4,3.9,2790,1962,1,1.38,30301,53.97,10
418459,2,3.6,1490,1989,1,1.07,10001,48.4,3
542799,1,1.7,2214,2010,1,0.56,94101,36.52,6
749919,4,3.2,2967,1993,2,1.24,10001,29.91,2
721428,3,2.3,2978,2011,0,0.85,30301,37.19,2
1015962,4,2.9,4032,1993,3,1.39,75201,28.75,10
550090,4,2.7,2029,1997,1,1.23,75201,39.99,2
534604,2,3.2,1950,2008,1,1.01,94101,36.61,2
697429,3,2.7,2595,2006,2,0.8,75201,43.03,5
902012,4,3.7,3827,1960,0,1.44,30301,65.23,1
368444,1,2.6,1081,1974,2,0.75,94101,31.82,7
656171,1,3.5,2867,2010,2,0.74,94101,38.33,1
900073,5,2.8,3567,1995,0,1.62,30301,52.33,1
696540,3,3.5,2651,2003,2,1.03,30301,30.39,5
676428,3,3.5,2600,1983,1,2.24,30301,65.24,7
833344,5,3.0,3281,1956,1,1.64,30301,30.7,3
920120,4,3.7,3624,2011,1,1.33,94101,52.69,7
600874,3,3.1,2165,2006,3,1.32,75201,71.24,9
532585,1,2.2,2072,1954,1,0.54,30301,30.33,4
498153,1,1.9,1707,1984,2,0.53,60601,34.01,5
545104,2,2.2,1918,1986,2,1.14,94101,40.98,8
970996,3,3.9,3992,2009,0,1.37,10001,50.38,9
870968,4,3.2,3309,2014,1,1.66,75201,47.4,5
932283,5,3.9,3806,1965,2,1.07,94101,49.66,5
974842,5,3.1,4068,1979,2,1.46,30301,60.12,2
665240,4,2.8,2389,2022,1,1.4,60601,46.26,9
800801,2,3.1,3176,1991,2,1.12,10001,20.69,6
595672,5,2.8,2245,2010,1,1.66,75201,75.47,5
627155,3,2.7,2315,1997,3,0.84,30301,58.63,5
565147,2,2.6,2070,2011,2,1.05,94101,24.52,4
738712,3,3.0,2990,2013,2,1.2,94101,46.31,1
521612,1,2.2,2009,2006,2,0.8,75201,65.71,6
